page,url
1,https://pitchfork.com/reviews/albums/joni-mitchell-at-newport/
1,https://pitchfork.com/reviews/albums/the-clientele-i-am-not-there-anymore/
1,https://pitchfork.com/reviews/albums/nas-magic-2/
1,https://pitchfork.com/reviews/albums/beverly-glenn-copeland-the-ones-ahead/
1,https://pitchfork.com/reviews/albums/damon-locks-rob-mazurek-new-future-city-radio/
1,https://pitchfork.com/reviews/albums/dj-k-panico-no-submundo/
1,https://pitchfork.com/reviews/albums/andrew-bird-outside-problems/
1,https://pitchfork.com/reviews/albums/los-war-on-drugs-2/
1,https://pitchfork.com/reviews/albums/nina-simone-youve-got-to-learn-live/
1,https://pitchfork.com/reviews/albums/outer-heaven-infinite-psychic-depths/
1,https://pitchfork.com/reviews/albums/mother-tongues-love-in-a-vicious-way/
1,https://pitchfork.com/reviews/albums/kode9-burial-infirmary-unknown-summer-ep/
2,https://pitchfork.com/reviews/albums/strange-ranger-pure-music/
2,https://pitchfork.com/reviews/albums/valee-harry-fraud-virtuoso/
2,https://pitchfork.com/reviews/albums/newjeans-get-up-ep/
2,https://pitchfork.com/reviews/albums/dionne-warwick-presenting-dionne-warwick/
2,https://pitchfork.com/reviews/albums/mort-garson-journey-to-the-moon-and-beyond/
2,https://pitchfork.com/reviews/albums/various-artists-barbie-the-album/
2,https://pitchfork.com/reviews/albums/jim-orourke-hands-that-bind-original-motion-picture-soundtrack/
2,https://pitchfork.com/reviews/albums/blur-the-ballad-of-darren/
2,https://pitchfork.com/reviews/albums/lindstrom-everyone-else-is-a-stranger/
2,https://pitchfork.com/reviews/albums/snooper-super-snooper/
2,https://pitchfork.com/reviews/albums/black-milk-everybody-good/
2,https://pitchfork.com/reviews/albums/ddg-maybe-its-me/
3,https://pitchfork.com/reviews/albums/disclosure-alchemy/
3,https://pitchfork.com/reviews/albums/cory-hanson-western-cum/
3,https://pitchfork.com/reviews/albums/palehound-eye-on-the-bat/
3,https://pitchfork.com/reviews/albums/glaive-i-care-so-much-that-i-dont-care-at-all/
3,https://pitchfork.com/reviews/albums/j-hus-beautiful-and-brutal-yard/
